"room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","city"
"Entire home/apt",6,2,2,3,95,2,1125,23,90,10,8,10,10,10,9,"madrid"
"Entire home/apt",6,1,3,5,37,1,1125,2,100,10,10,10,10,10,10,"girona"
"Entire home/apt",4,1,1,1,87,2,180,2,30,6,4,5,3,6,5,"madrid"
"Entire home/apt",3,1,1,2,157,1,200,0,92,9,9,10,10,10,9,"madrid"
"Private room",4,1,1,2,80,2,1125,11,84,9,9,10,9,9,8,"barcelona"
"Entire home/apt",6,1,3,4,120,2,1125,17,93,10,9,9,10,9,9,"girona"
"Entire home/apt",16,3,5,5,258,2,1125,7,91,9,9,10,9,9,9,"sevilla"
"Entire home/apt",4,1,2,4,97,6,1125,12,95,10,10,9,10,9,9,"mallorca"
"Shared room",1,2,1,1,15,3,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",6,1,2,4,600,2,330,66,98,10,10,10,10,10,10,"barcelona"
"Entire home/apt",2,1,0,1,70,1,1000,492,96,10,10,10,10,10,10,"madrid"
"Entire home/apt",4,1,1,4,140,3,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",5,2,3,4,116,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",2,1,1,1,100,2,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",6,1,2,5,70,2,60,41,99,10,10,10,10,10,10,"malaga"
"Entire home/apt",4,1,2,3,90,2,1125,131,86,9,9,9,9,9,9,"barcelona"
"Entire home/apt",13,5,7,12,149,1,1125,2,100,10,10,10,10,10,10,"madrid"
"Entire home/apt",2,1,1,1,58,1,1125,164,96,10,10,10,10,9,9,"madrid"
"Entire home/apt",4,1,2,4,70,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",6,2,3,3,141,1,1125,1,100,10,10,10,10,10,6,"girona"
"Entire home/apt",8,3,4,8,215,7,28,0,92,9,9,10,10,10,9,"girona"
"Private room",2,2,1,1,40,3,1125,6,100,10,10,10,10,8,8,"barcelona"
"Private room",1,1,1,1,35,3,30,6,100,10,10,10,10,10,9,"barcelona"
"Entire home/apt",2,1,0,1,69,1,1125,76,96,10,10,10,10,10,9,"barcelona"
"Entire home/apt",9,2,5,6,120,4,1125,26,98,10,10,10,10,9,10,"menorca"
"Entire home/apt",2,1,0,1,54,2,62,50,98,10,10,10,10,10,9,"madrid"
"Entire home/apt",4,1,1,2,45,1,1124,1,60,6,10,8,6,10,6,"girona"
"Private room",2,1,1,1,100,1,3,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",6,1,3,3,80,2,90,10,100,10,10,10,10,10,10,"malaga"
"Private room",2,1,1,1,85,2,15,0,92,9,9,10,10,10,9,"girona"
"Private room",2,1,1,1,54,2,1125,9,98,10,10,10,10,10,10,"barcelona"
"Entire home/apt",6,2,3,5,359,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",1,1,1,1,50,3,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",5,1,2,2,95,3,1125,4,95,9,10,9,10,10,10,"sevilla"
"Shared room",2,1,1,1,20,1,1125,9,98,9,10,10,10,10,9,"barcelona"
"Entire home/apt",6,1,2,4,144,6,30,10,92,10,9,9,10,9,9,"girona"
"Entire home/apt",2,1,1,1,40,3,1125,0,92,9,9,10,10,10,9,"menorca"
"Entire home/apt",2,1,1,1,68,1,1125,9,98,10,10,10,10,9,10,"madrid"
"Shared room",1,1,1,6,20,1,14,11,98,10,10,10,10,10,9,"barcelona"
"Private room",2,1,1,1,80,1,6,0,92,9,9,10,10,10,9,"sevilla"
"Private room",2,2,1,1,28,4,28,7,94,9,10,9,10,10,9,"valencia"
"Private room",2,1,1,1,27,3,99,32,99,10,10,10,10,10,10,"madrid"
"Private room",2,1,1,1,45,1,1125,59,99,10,10,10,10,10,10,"mallorca"
